gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,HasInternetService,TotalServices,LoyaltyCategory,AvgMonthlyCharges,HadPriceIncrease,HasFamilySupport,IsHighValue,ChargeDifference,TotalChargesCategory,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year
0,0,1,0,1,0,0,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,0,1,New,29.85,0,1,0,0.0,Low,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,34,1,0,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,0,2,Very Loyal,55.5735294117647,1,0,0,1.3764705882352999,High,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,2,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,0,2,New,54.075,0,0,0,-0.22500000000000142,Low,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,45,0,0,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,0,3,Long-term,40.90555555555556,1,0,0,1.3944444444444386,High,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,0,0,0,2,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,0,0,New,75.825,0,0,0,-4.6221089956555,Low,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,8,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,0,3,New,102.5625,0,0,0,-2.9124999999999943,Medium,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,1,22,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,0,2,Loyal,88.60909090909091,1,1,0,0.49090909090908497,High,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,10,0,0,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,0,1,New,30.189999999999998,0,0,0,-0.4399999999999977,Low,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,28,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,0,4,Very Loyal,108.78750000000001,0,1,0,-3.9875000000000114,High,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,0,1,62,1,0,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,0,2,Long-term,56.25725806451613,0,1,0,-0.10725806451613096,High,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,1,1,13,1,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,0,1,Loyal,45.18846153846154,1,1,0,4.609705468949651,Medium,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,16,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,1,0,Loyal,20.425,0,0,0,-1.4750000000000014,Low,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0,1,0,58,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,0,3,Long-term,97.95,1,1,1,2.3999999999999915,Very High,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,49,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,0,4,Long-term,102.78163265306122,1,0,1,0.9183673469387799,Very High,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,25,1,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,0,5,Very Loyal,107.44200000000001,0,0,0,-1.9420000000000073,High,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
0,0,1,1,69,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,0,6,Long-term,114.42246376811593,0,1,1,-1.1724637681159322,Very High,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,52,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,1,0,Long-term,19.672115384615385,1,0,0,0.9778846153846139,Medium,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,1,71,1,1,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,0,4,Long-term,103.97535211267606,1,1,1,2.7246478873239397,Very High,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,1,1,10,1,0,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0,2,New,52.835,1,1,0,2.365000000000002,Medium,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,21,1,0,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,0,3,Loyal,88.70952380952382,1,0,0,1.3404761904761813,High,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
1,1,0,0,1,0,0,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,0,2,New,39.65,0,0,0,0.0,Low,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
1,0,1,0,12,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,1,0,New,16.854166666666668,1,1,0,2.945833333333333,Low,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,1,0,New,20.15,0,0,0,0.0,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
0,0,1,0,58,1,1,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,0,2,Long-term,60.432758620689654,0,1,0,-0.5327586206896555,High,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,0,1,1,49,1,0,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,0,3,Long-term,60.61836734693878,0,1,0,-1.0183673469387813,High,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,30,1,0,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,0,2,Very Loyal,51.019999999999996,1,0,0,4.280000000000001,High,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,1,1,47,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,0,3,Long-term,101.04574468085106,0,1,1,-1.695744680851064,Very High,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
1,0,1,1,1,0,0,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,0,1,New,30.2,0,1,0,0.0,Low,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,1,0,72,1,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,0,6,Long-term,88.46458333333334,1,1,1,1.7854166666666629,Very High,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,17,1,0,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,0,2,Loyal,64.3,1,1,0,0.4000000000000057,Medium,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
0,1,1,0,71,1,1,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,0,4,Long-term,95.30915492957746,1,1,1,1.0408450704225345,Very High,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
1,1,1,0,2,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0,3,New,90.825,1,1,0,4.609705468949651,Low,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,27,1,0,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,0,4,Very Loyal,69.42407407407407,0,1,0,-3.274074074074065,High,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
